Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Bhardwaj Restaurant And Resort,"North Indian, Fast Food",-,₹350 for two,9.3,"Kanpur Road, Lucknow","Ambience, Efficient Service, Perfect Place","North Indian, Fast FoodAmbience, Efficient Service, Perfect Place₹350 for two-"
Robot Restaurant - The Yellow House,"North Indian, Chinese",3.9,"₹1,000 for two",2.3,"Aliganj, Lucknow","Authentic Flavors, Staff, Breakfast","North Indian, ChineseAuthentic Flavors, Staff, Breakfast₹1,000 for two3.9"
Desi Kalika Chulha,"Lucknowi, Mughlai",-,₹400 for two,10.4,"Gomti Nagar, Lucknow","Comfortable Seating, Peaceful Ambience, Great for Dates","Lucknowi, MughlaiComfortable Seating, Peaceful Ambience, Great for Dates₹400 for two-"
Riddhi Family Restaurant,"North Indian, Fast Food, Street Food, Chinese",-,₹200 for two,4.0,"Aliganj, Lucknow","Sustainable Practices, Good Bartenders, Cozy Ambiance","North Indian, Fast Food, Street Food, ChineseSustainable Practices, Good Bartenders, Cozy Ambiance₹200 for two-"
New Annapurna,"North Indian, Biryani, Chinese, Rolls, Street Food, Beverages",New,₹300 for two,11.2,"Transport Nagar, Lucknow","Authentic Flavors, Cafe, Customizable Dishes","North Indian, Biryani, Chinese, Rolls, Street Food, BeveragesAuthentic Flavors, Cafe, Customizable Dishes₹300 for twoNew"
Maa Shakambari Hotel,North Indian,New,₹300 for two,4.3,"Charbagh, Lucknow","Breakfast, Live Sports Screening, Trendy Setting","North IndianBreakfast, Live Sports Screening, Trendy Setting₹300 for twoNew"
Spice N Spicy,"Chinese, Momos",-,₹200 for two,2.3,"Mahanagar, Lucknow","Ambience, Impeccable Presentation, Delicious Food","Chinese, MomosAmbience, Impeccable Presentation, Delicious Food₹200 for two-"
Padre Restro,"North Indian, Mughlai, Chinese, Fast Food, Beverages",New,₹450 for two,9.5,"Aashiana, Lucknow","Quantity, Satisfying Portions, Innovative Dishes","North Indian, Mughlai, Chinese, Fast Food, BeveragesQuantity, Satisfying Portions, Innovative Dishes₹450 for twoNew"
Shekhu Biryani Corner,"Biryani, North Indian",-,₹200 for two,3.2,"Husain Ganj, Lucknow","Staff, Quantity, Authentic Flavors","Biryani, North IndianStaff, Quantity, Authentic Flavors₹200 for two-"
Brocode Cafe,"Chinese, Fast Food, Street Food, Pizza, Sandwich, Momos, Shake, Beverages",-,₹450 for two,2.2,"Aliganj, Lucknow","Friendly Staff, Great for Dates, Consistent Quality","Chinese, Fast Food, Street Food, Pizza, Sandwich, Momos, Shake, BeveragesFriendly Staff, Great for Dates, Consistent Quality₹450 for two-"
Marine Drive Cafe,"Chinese, North Indian, South Indian, Fast Food",-,₹450 for two,3.1,"Jopling Road, Lucknow","Local Sourcing, Satisfying Portions, Variety of Beer","Chinese, North Indian, South Indian, Fast FoodLocal Sourcing, Satisfying Portions, Variety of Beer₹450 for two-"
Panjabi Tadka,"South Indian, Fast Food, North Indian, Biryani, Beverages",-,₹300 for two,1.3,"Nirala Nagar, Lucknow","Great for Dates, Perfect Place, Satisfying Portions","South Indian, Fast Food, North Indian, Biryani, BeveragesGreat for Dates, Perfect Place, Satisfying Portions₹300 for two-"
Vinci Da Pizza,"Pizza, Fast Food",-,₹400 for two,6.0,"Gomti Nagar, Lucknow","Inviting Decor, Clean Environment, Ambiance","Pizza, Fast FoodInviting Decor, Clean Environment, Ambiance₹400 for two-"
Zafran Handi,"Mughlai, North Indian, Kebab",-,₹600 for two,5.2,"Indira Nagar, Lucknow","Brewed Beer, Staff, Local Sourcing","Mughlai, North Indian, KebabBrewed Beer, Staff, Local Sourcing₹600 for two-"
Mahi Paratha & Burger Point,"Burger, North Indian, Chinese, Wraps, Sandwich",-,₹300 for two,9.5,"Alambagh, Lucknow","Cozy Ambiance, Extensive Mocktail Menu, Live Sports Screening","Burger, North Indian, Chinese, Wraps, SandwichCozy Ambiance, Extensive Mocktail Menu, Live Sports Screening₹300 for two-"
Annapoorneshwari Dhaba,North Indian,-,₹250 for two,21.5,"Aashiana, Lucknow","Sophisticated, Main Course, Good Bartenders","North IndianSophisticated, Main Course, Good Bartenders₹250 for two-"
Transport Dhaba,North Indian,-,₹250 for two,11.0,"Transport Nagar, Lucknow","Ambience, Sophisticated, Customizable Dishes","North IndianAmbience, Sophisticated, Customizable Dishes₹250 for two-"
Dukhiram Family Restaurant,"North Indian, Fast Food",-,₹250 for two,8.8,"Gomti Nagar, Lucknow","Breakfast, Cozy Ambiance, Inviting Decor","North Indian, Fast FoodBreakfast, Cozy Ambiance, Inviting Decor₹250 for two-"
Corporate Station,"Awadhi, Mughlai, North Indian",-,₹200 for two,8.1,"Aashiana, Lucknow","Variety of Beer, Impeccable Presentation, Local Sourcing","Awadhi, Mughlai, North IndianVariety of Beer, Impeccable Presentation, Local Sourcing₹200 for two-"
We Eaters,Fast Food,-,₹300 for two,7.1,"Jankipuram, Lucknow","Hospitality, Seasonal Menu, Well-priced Options","Fast FoodHospitality, Seasonal Menu, Well-priced Options₹300 for two-"
Flavourish Bites,"North Indian, Chinese, Biryani",-,₹450 for two,3.5,"Indira Nagar, Lucknow","Extensive Mocktail Menu, Staff, Authentic Flavors","North Indian, Chinese, BiryaniExtensive Mocktail Menu, Staff, Authentic Flavors₹450 for two-"
Arora Baker's,"Bakery, Fast Food",-,₹400 for two,12.6,"Transport Nagar, Lucknow","Cozy Ambiance, Live Sports Screening, Friendly Staff","Bakery, Fast FoodCozy Ambiance, Live Sports Screening, Friendly Staff₹400 for two-"
Mughal's,Chinese,-,₹500 for two,5.9,"Indira Nagar, Lucknow","Variety of Beer, Good Bartenders, Creative Cuisine","ChineseVariety of Beer, Good Bartenders, Creative Cuisine₹500 for two-"
Spicy Pizza,"Pizza, Fast Food, Street Food, Shake, Beverages",-,₹350 for two,5.3,"Aliganj, Lucknow","Satisfying Portions, Cozy Ambiance, Hospitality","Pizza, Fast Food, Street Food, Shake, BeveragesSatisfying Portions, Cozy Ambiance, Hospitality₹350 for two-"
Shivpura Central Baba Bhog Restaurant,"North Indian, Street Food",-,₹150 for two,24.9,"Alambagh, Lucknow","Customizable Dishes, Brewed Beer, Ambience","North Indian, Street FoodCustomizable Dishes, Brewed Beer, Ambience₹150 for two-"
Angeethi Cafe & Family Restaurant,"South Indian, Chinese, Momos, Fast Food, Beverages",New,₹300 for two,7.0,"Madiyanva, Lucknow","Customizable Dishes, Extensive Mocktail Menu, Fresh Ingredients","South Indian, Chinese, Momos, Fast Food, BeveragesCustomizable Dishes, Extensive Mocktail Menu, Fresh Ingredients₹300 for twoNew"
Triton Inn,"North Indian, Chinese, Mughlai, Street Food, Fast Food, Desserts",-,₹600 for two,6.9,"Gomti Nagar, Lucknow","Weekend Brunch, Memorable Experience, Local Sourcing","North Indian, Chinese, Mughlai, Street Food, Fast Food, DessertsWeekend Brunch, Memorable Experience, Local Sourcing₹600 for two-"
Shivpura Central Baba Bhog,"North Indian, Street Food, Beverages",-,₹400 for two,24.9,"Kanpur Road, Lucknow","Hospitable Staff, Authentic Flavors, Hospitality","North Indian, Street Food, BeveragesHospitable Staff, Authentic Flavors, Hospitality₹400 for two-"
Health Cafe,"Bakery, Fast Food, Cake",-,₹400 for two,4.1,"Khurram Nagar, Lucknow","Friendly Staff, Diverse Menu, Extensive Mocktail Menu","Bakery, Fast Food, CakeFriendly Staff, Diverse Menu, Extensive Mocktail Menu₹400 for two-"
MBA Food Wala,"North Indian, Chinese, Fast Food, Street Food",-,₹150 for two,6.7,"Gomti Nagar, Lucknow","Exquisite Taste, Sustainable Practices, Diverse Menu","North Indian, Chinese, Fast Food, Street FoodExquisite Taste, Sustainable Practices, Diverse Menu₹150 for two-"
Hot Box Cafe & Family Restaurant,"Chinese, Pasta, Pizza, Fast Food, Shake, Beverages",New,₹250 for two,9.5,"Rajajipuram, Lucknow","Attentive Service, Brewed Beer, Innovative Dishes","Chinese, Pasta, Pizza, Fast Food, Shake, BeveragesAttentive Service, Brewed Beer, Innovative Dishes₹250 for twoNew"
Galaxy Restaurent,"North Indian, South Indian, Chinese, Burger",-,₹250 for two,4.2,"Aminabad, Lucknow","Sophisticated, Great for Dates, Efficient Service","North Indian, South Indian, Chinese, BurgerSophisticated, Great for Dates, Efficient Service₹250 for two-"
Esselate's Al-Bake.Com,"Lucknowi, Fast Food",New,₹300 for two,6.5,"Jankipuram, Lucknow","Efficient Service, Consistent Quality, Perfect Place","Lucknowi, Fast FoodEfficient Service, Consistent Quality, Perfect Place₹300 for twoNew"
Shubharambh Restaurant,"South Indian, Chinese, Fast Food",-,₹400 for two,5.7,"Gomti Nagar, Lucknow","Good Bartenders, Warm Atmosphere, Local Sourcing","South Indian, Chinese, Fast FoodGood Bartenders, Warm Atmosphere, Local Sourcing₹400 for two-"
Royal Taste,"Momos, Burger",-,₹200 for two,6.4,"Mahanagar, Lucknow","Staff, Ambience, Quantity","Momos, BurgerStaff, Ambience, Quantity₹200 for two-"
Maa Vaishno Bhojnalaya,North Indian,New,₹300 for two,4.0,"Indira Nagar, Lucknow","Fresh Ingredients, Courteous Staff, Diverse Menu","North IndianFresh Ingredients, Courteous Staff, Diverse Menu₹300 for twoNew"
Cravings Cure Cafe,"Pizza, South Indian, Fast Food, Beverages, Sichuan",-,₹300 for two,4.7,"Indira Nagar, Lucknow","Innovative Dishes, Comfortable Seating, Delicious Food","Pizza, South Indian, Fast Food, Beverages, SichuanInnovative Dishes, Comfortable Seating, Delicious Food₹300 for two-"
Mr. Veggiee,Fast Food,-,₹300 for two,3.3,"Khurram Nagar, Lucknow","Trendy Setting, Seasonal Menu, Cafe","Fast FoodTrendy Setting, Seasonal Menu, Cafe₹300 for two-"
Chicken Lover's Point,"North Indian, Rolls",-,₹300 for two,7.7,"Gomti Nagar, Lucknow","Friendly Staff, Fresh Ingredients, Consistent Quality","North Indian, RollsFriendly Staff, Fresh Ingredients, Consistent Quality₹300 for two-"
Shivganga Bakers,"Bakery, Desserts",-,₹650 for two,9.9,"Transport Nagar, Lucknow","Inviting Decor, Memorable Experience, Vintage Decor","Bakery, DessertsInviting Decor, Memorable Experience, Vintage Decor₹650 for two-"
Sahu Bhojanalya,"North Indian, Desserts",New,₹250 for two,6.7,"Gomti Nagar, Lucknow","Inviting Decor, Courteous Staff, Attentive Service","North Indian, DessertsInviting Decor, Courteous Staff, Attentive Service₹250 for twoNew"
Ma Vaishnavi Fast Food Center,Fast Food,New,₹200 for two,6.5,"Rajajipuram, Lucknow","Well-priced Options, Seasonal Menu, Fresh Ingredients","Fast FoodWell-priced Options, Seasonal Menu, Fresh Ingredients₹200 for twoNew"
New Aafaan - Made By Aafaan,"North Indian, Chinese, Mughlai",-,₹400 for two,4.7,"Indira Nagar, Lucknow","Consistent Quality, Breakfast, Good Bartenders","North Indian, Chinese, MughlaiConsistent Quality, Breakfast, Good Bartenders₹400 for two-"
Bella Ciao Cafe,"Fast Food, Street Food, Bakery, Beverages",New,₹300 for two,2.1,"Aliganj, Lucknow","Sustainable Practices, Breakfast, Quantity","Fast Food, Street Food, Bakery, BeveragesSustainable Practices, Breakfast, Quantity₹300 for twoNew"
Kohinoor Restaurant,North Indian,-,₹350 for two,4.6,"Aishbagh, Lucknow","Great Service, Efficient Service, Ambiance","North IndianGreat Service, Efficient Service, Ambiance₹350 for two-"
Kitchen Number 203,"Fast Food, Street Food, Momos, Beverages",-,₹350 for two,12.1,"Aashiana, Lucknow","Main Course, Hospitable Staff, Sustainable Practices","Fast Food, Street Food, Momos, BeveragesMain Course, Hospitable Staff, Sustainable Practices₹350 for two-"
Narayan Bhog Family Restaurant,"Fast Food, Pizza, Momos, Street Food, Beverages",New,₹350 for two,8.0,"Rajajipuram, Lucknow","Fresh Ingredients, Main Course, Local Sourcing","Fast Food, Pizza, Momos, Street Food, BeveragesFresh Ingredients, Main Course, Local Sourcing₹350 for twoNew"
Food Hub,"Chinese, Street Food",New,₹350 for two,4.5,"Aishbagh, Lucknow","Vintage Decor, Innovative Dishes, Hospitality","Chinese, Street FoodVintage Decor, Innovative Dishes, Hospitality₹350 for twoNew"
Maa Chandrika Canteen,North Indian,-,₹250 for two,8.1,"Jankipuram, Lucknow","Main Course, Fresh Ingredients, Breakfast","North IndianMain Course, Fresh Ingredients, Breakfast₹250 for two-"
One Step Restaurant And Lounge,"Chinese, North Indian, Beverages",-,₹400 for two,10.8,"Gomti Nagar, Lucknow","Trendy Setting, Seasonal Menu, Staff","Chinese, North Indian, BeveragesTrendy Setting, Seasonal Menu, Staff₹400 for two-"
Students Break Point,"Chinese, Street Food, Fast Food",-,₹300 for two,6.2,"Aliganj, Lucknow","Efficient Service, Breakfast, Brewed Beer","Chinese, Street Food, Fast FoodEfficient Service, Breakfast, Brewed Beer₹300 for two-"
Sudheer Dhaba,"North Indian, Chinese",-,₹300 for two,11.5,"Jankipuram, Lucknow","Inviting Decor, Good Bartenders, Quantity","North Indian, ChineseInviting Decor, Good Bartenders, Quantity₹300 for two-"
Kitchen Omega,"North Indian, Biryani, Mughlai",-,₹400 for two,4.5,"Indira Nagar, Lucknow","Extensive Mocktail Menu, Customizable Dishes, Delicious Food","North Indian, Biryani, MughlaiExtensive Mocktail Menu, Customizable Dishes, Delicious Food₹400 for two-"
Manoj Eating Point,"Chinese, North Indian, Fast Food",-,₹550 for two,4.2,"Nirala Nagar, Lucknow","Breakfast, Great for Dates, Young Crowd","Chinese, North Indian, Fast FoodBreakfast, Great for Dates, Young Crowd₹550 for two-"
The Spicy Table Restaurant,North Indian,-,₹200 for two,11.1,"Gomti Nagar, Lucknow","Main Course, Young Crowd, Ambiance","North IndianMain Course, Young Crowd, Ambiance₹200 for two-"
Sindh Bakery,Bakery,-,₹400 for two,11.5,"Aashiana, Lucknow","Quantity, Main Course, Authentic Flavors","BakeryQuantity, Main Course, Authentic Flavors₹400 for two-"
Best Chef Point,"North Indian, Chinese, South Indian, Momos, Street Food",-,₹300 for two,8.4,"Gomti Nagar, Lucknow","Perfect Place, Warm Atmosphere, Hospitality","North Indian, Chinese, South Indian, Momos, Street FoodPerfect Place, Warm Atmosphere, Hospitality₹300 for two-"
Gupta Tea Stall,"Tea, North Indian",-,₹200 for two,6.7,"Alambagh, Lucknow","Well-priced Options, Warm Atmosphere, Seasonal Menu","Tea, North IndianWell-priced Options, Warm Atmosphere, Seasonal Menu₹200 for two-"
Apna Kitchen,North Indian,-,₹300 for two,3.9,"Gomti Nagar, Lucknow","Sophisticated, Variety of Beer, Creative Cuisine","North IndianSophisticated, Variety of Beer, Creative Cuisine₹300 for two-"
Italian Noodles,"North Indian, Fast Food, Momos, Pizza, Chinese, Beverages",-,₹300 for two,4.2,"Khurram Nagar, Lucknow","Memorable Experience, Good Music, Flavorful Creations","North Indian, Fast Food, Momos, Pizza, Chinese, BeveragesMemorable Experience, Good Music, Flavorful Creations₹300 for two-"
Lucknowi Zaika,"Lucknowi, North Indian, Mughlai",New,₹550 for two,13.2,"Rajajipuram, Lucknow","Great for Dates, Authentic Flavors, Good Bartenders","Lucknowi, North Indian, MughlaiGreat for Dates, Authentic Flavors, Good Bartenders₹550 for twoNew"
The Mughal's Al-baik,"North Indian, Mughlai",-,₹700 for two,4.7,"Indira Nagar, Lucknow","Extensive Mocktail Menu, Weekend Brunch, Courteous Staff","North Indian, MughlaiExtensive Mocktail Menu, Weekend Brunch, Courteous Staff₹700 for two-"
Chinese Food Factory,"Chinese, Fast Food",-,₹200 for two,7.9,"Aashiana, Lucknow","Exquisite Taste, Trendy Setting, Perfect Place","Chinese, Fast FoodExquisite Taste, Trendy Setting, Perfect Place₹200 for two-"
Badshah Veg And Non Veg Restaurant,North Indian,New,₹300 for two,5.4,"Indira Nagar, Lucknow","Authentic Flavors, Comfortable Seating, Hospitality","North IndianAuthentic Flavors, Comfortable Seating, Hospitality₹300 for twoNew"
Ambey Bhojanalya,"North Indian, Chinese",-,₹400 for two,3.5,"Indira Nagar, Lucknow","Sustainable Practices, Exquisite Taste, Ambience","North Indian, ChineseSustainable Practices, Exquisite Taste, Ambience₹400 for two-"
Lebanese Point Non Veg,"Lebanese, Shawarma",New,₹300 for two,3.1,"Khurram Nagar, Lucknow","Cafe, Exquisite Taste, Seasonal Menu","Lebanese, ShawarmaCafe, Exquisite Taste, Seasonal Menu₹300 for twoNew"
Royale Asian,"Thai, Chinese, Momos",3.0,₹700 for two,10.0,"Gomti Nagar, Lucknow","Exquisite Taste, Delicious Food, Great Service","Thai, Chinese, MomosExquisite Taste, Delicious Food, Great Service₹700 for two3.0"
The Twilight Kitchen & Bar,"North Indian, Oriental, Italian, Fast Food, Kebab, Mughlai, Desserts, Beverages",4.6,"₹1,700 for two",5.2,"Jankipuram, Lucknow","Perfect Place, Hospitable Staff, Young Crowd","North Indian, Oriental, Italian, Fast Food, Kebab, Mughlai, Desserts, BeveragesPerfect Place, Hospitable Staff, Young Crowd₹1,700 for two4.6"
Sassy Canteen,"North Indian, Sushi, Chinese, Continental, Oriental, Rolls, Desserts",4.9,"₹1,400 for two",7.4,"Gomti Nagar, Lucknow","Peaceful Ambience, Consistent Quality, Sophisticated","North Indian, Sushi, Chinese, Continental, Oriental, Rolls, DessertsPeaceful Ambience, Consistent Quality, Sophisticated₹1,400 for two4.9"
New Lucknow Kitchen,"North Indian, Chinese, South Indian, Fast Food, Seafood, Mughlai, Desserts, Beverages",4.0,"₹1,200 for two",5.3,"Jankipuram, Lucknow","Perfect Place, Satisfying Portions, Good Music","North Indian, Chinese, South Indian, Fast Food, Seafood, Mughlai, Desserts, BeveragesPerfect Place, Satisfying Portions, Good Music₹1,200 for two4.0"
Bellissimo,"Mughlai, Italian, Continental, North Indian",3.2,"₹1,800 for two",5.9,"Gomti Nagar, Lucknow","Well-priced Options, Friendly Staff, Attentive Service","Mughlai, Italian, Continental, North IndianWell-priced Options, Friendly Staff, Attentive Service₹1,800 for two3.2"
Tunday Kababi,"Kebab, North Indian, Mughlai, Biryani",4.4,₹300 for two,2.8,"Aminabad, Lucknow","Innovative Dishes, Live Sports Screening, Warm Atmosphere","Kebab, North Indian, Mughlai, BiryaniInnovative Dishes, Live Sports Screening, Warm Atmosphere₹300 for two4.4"
Naimat Khana,"Awadhi, North Indian, Beverages",4.5,₹950 for two,2.1,"Kaiserbagh, Lucknow","Brewed Beer, Diverse Menu, Attentive Service","Awadhi, North Indian, BeveragesBrewed Beer, Diverse Menu, Attentive Service₹950 for two4.5"
Moti Mahal,"North Indian, Chinese, South Indian, Street Food, Fast Food, BBQ, Desserts, Beverages",4.1,₹950 for two,1.9,"Hazratganj, Lucknow","Brewed Beer, Creative Cuisine, Friendly Staff","North Indian, Chinese, South Indian, Street Food, Fast Food, BBQ, Desserts, BeveragesBrewed Beer, Creative Cuisine, Friendly Staff₹950 for two4.1"
Royal Sky,"North Indian, Mughlai, Chinese, Continental, Sichuan, Fast Food, Desserts, Beverages",4.3,"₹1,800 for two",1.8,"Hazratganj, Lucknow","Comfortable Seating, Hospitality, Ambience","North Indian, Mughlai, Chinese, Continental, Sichuan, Fast Food, Desserts, BeveragesComfortable Seating, Hospitality, Ambience₹1,800 for two4.3"
Unplugged Courtyard,"North Indian, Chinese, Continental, Desserts, Beverages",4.1,"₹2,500 for two",6.2,"Summit Building, Gomti Nagar, Lucknow","Extensive Mocktail Menu, Fresh Ingredients, Cozy Ambiance","North Indian, Chinese, Continental, Desserts, BeveragesExtensive Mocktail Menu, Fresh Ingredients, Cozy Ambiance₹2,500 for two4.1"
Woodpecker,"North Indian, Continental, Italian, Pizza, Fast Food, Shake, Desserts, Beverages",4.0,"₹2,000 for two",1.1,"Hazratganj, Lucknow","Memorable Experience, Breakfast, Good Bartenders","North Indian, Continental, Italian, Pizza, Fast Food, Shake, Desserts, BeveragesMemorable Experience, Breakfast, Good Bartenders₹2,000 for two4.0"
The Cherry Tree Bakery & Cafe,"Cafe, Bakery, Continental, Fast Food, Pizza, Desserts, Beverages",4.1,"₹1,200 for two",1.6,"Hazratganj, Lucknow","Well-priced Options, Friendly Staff, Authentic Flavors","Cafe, Bakery, Continental, Fast Food, Pizza, Desserts, BeveragesWell-priced Options, Friendly Staff, Authentic Flavors₹1,200 for two4.1"
The Hype Room,"Asian, Italian, BBQ, Continental, North Indian, European, Finger Food, Beverages",3.8,"₹3,000 for two",6.1,"Gomti Nagar, Lucknow","Consistent Quality, Delicious Food, Staff","Asian, Italian, BBQ, Continental, North Indian, European, Finger Food, BeveragesConsistent Quality, Delicious Food, Staff₹3,000 for two3.8"
Royal Cafe - Royal Inn,"North Indian, BBQ, Mughlai, Continental, Chinese, Fast Food, Desserts, Beverages",4.2,"₹1,500 for two",0.989,"Royal Inn, Hazratganj, Lucknow","Hospitable Staff, Warm Atmosphere, Variety of Beer","North Indian, BBQ, Mughlai, Continental, Chinese, Fast Food, Desserts, BeveragesHospitable Staff, Warm Atmosphere, Variety of Beer₹1,500 for two4.2"
The Vault Disc And Lounge,"Continental, Chinese, Fast Food, Bar Food, Beverages, North Indian",4.2,"₹1,200 for two",4.2,"Khurram Nagar, Lucknow","Creative Cuisine, Vintage Decor, Cafe","Continental, Chinese, Fast Food, Bar Food, Beverages, North IndianCreative Cuisine, Vintage Decor, Cafe₹1,200 for two4.2"
EDGE - Rooftop Bar & Lounge,Finger Food,4.1,"₹1,200 for two",7.4,"Novotel, Gomti Nagar, Lucknow","Authentic Flavors, Innovative Dishes, Attentive Service","Finger FoodAuthentic Flavors, Innovative Dishes, Attentive Service₹1,200 for two4.1"
Chuck Bungalow,"Cafe, Fast Food, Chinese, Pizza, Sandwich, Momos, Desserts, Beverages",4.3,₹550 for two,8.9,"Gomti Nagar, Lucknow","Cafe, Innovative Dishes, Great Service","Cafe, Fast Food, Chinese, Pizza, Sandwich, Momos, Desserts, BeveragesCafe, Innovative Dishes, Great Service₹550 for two4.3"
The Terrace Grill - La Place Sarovar Portico,"North Indian, Continental, Mughlai, Oriental, Pizza, Beverages",4.3,"₹3,000 for two",1.3,"La Place Sarovar Portico, Hazratganj, Lucknow","Quantity, Creative Cuisine, Variety of Beer","North Indian, Continental, Mughlai, Oriental, Pizza, BeveragesQuantity, Creative Cuisine, Variety of Beer₹3,000 for two4.3"
1936 - Saraca Lucknow,"Italian, Pasta, Pizza, Beverages, Desserts",4.5,"₹3,500 for two",1.4,"lebua Lucknow, Lucknow","Delicious Food, Cafe, Main Course","Italian, Pasta, Pizza, Beverages, DessertsDelicious Food, Cafe, Main Course₹3,500 for two4.5"
Fusion Flavour,"North Indian, Biryani, Mughlai, Chinese, Sichuan",4.3,₹850 for two,3.1,"Aliganj, Lucknow","Attentive Service, Main Course, Friendly Staff","North Indian, Biryani, Mughlai, Chinese, SichuanAttentive Service, Main Course, Friendly Staff₹850 for two4.3"
Nucleus,"Continental, Chinese, Italian, Desserts",New,"₹1,800 for two",6.3,"Gomti Nagar, Lucknow","Sustainable Practices, Creative Cuisine, Courteous Staff","Continental, Chinese, Italian, DessertsSustainable Practices, Creative Cuisine, Courteous Staff₹1,800 for twoNew"
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.9,₹500 for two,9.3,"Kanpur Road, Lucknow","Attentive Service, Satisfying Portions, Good Bartenders","North Indian, Rolls, MomosAttentive Service, Satisfying Portions, Good Bartenders₹500 for two3.9"
Saraca - Lucknow,North Indian,4.0,"₹1,400 for two",3.3,"lebua Lucknow, Lucknow","Customizable Dishes, Weekend Brunch, Great Service","North IndianCustomizable Dishes, Weekend Brunch, Great Service₹1,400 for two4.0"
The Hazelnut Factory,"Bakery, Mithai, Pizza, Desserts, Fast Food, Cafe, Beverages, Street Food",4.1,₹900 for two,1.8,"Hazratganj, Lucknow","Customizable Dishes, Cozy Ambiance, Weekend Brunch","Bakery, Mithai, Pizza, Desserts, Fast Food, Cafe, Beverages, Street FoodCustomizable Dishes, Cozy Ambiance, Weekend Brunch₹900 for two4.1"
Amigo's,"Fast Food, Street Food",4.1,₹400 for two,4.6,"Gomti Nagar, Lucknow","Main Course, Ambiance, Cafe","Fast Food, Street FoodMain Course, Ambiance, Cafe₹400 for two4.1"
26 Degree,"North Indian, Mughlai, South Indian, Pizza, Fast Food, Biryani, Desserts, Beverages",3.9,"₹1,200 for two",4.7,"Gomti Nagar, Lucknow","Trendy Setting, Cafe, Comfortable Seating","North Indian, Mughlai, South Indian, Pizza, Fast Food, Biryani, Desserts, BeveragesTrendy Setting, Cafe, Comfortable Seating₹1,200 for two3.9"
The Mughal's Dastarkhwan,"Mughlai, Lucknowi, North Indian, Chinese",4.5,"₹1,100 for two",2.1,"Lalbagh, Lucknow","Good Music, Sustainable Practices, Quantity","Mughlai, Lucknowi, North Indian, ChineseGood Music, Sustainable Practices, Quantity₹1,100 for two4.5"
Groove Rooftop And Restro Bar,"North Indian, Mughlai, Kebab, Chinese, Salad, Pizza, Fast Food, Desserts",3.9,"₹1,400 for two",8.9,"Alambagh, Lucknow","Innovative Dishes, Main Course, Sophisticated","North Indian, Mughlai, Kebab, Chinese, Salad, Pizza, Fast Food, DessertsInnovative Dishes, Main Course, Sophisticated₹1,400 for two3.9"
Cube Bar - Casaya Inn,"North Indian, Chinese, Italian, Desserts, Beverages",4.9,"₹1,800 for two",7.7,"Gomti Nagar, Lucknow","Main Course, Live Sports Screening, Cafe","North Indian, Chinese, Italian, Desserts, BeveragesMain Course, Live Sports Screening, Cafe₹1,800 for two4.9"
Chai Sutta Bar,"Tea, Sandwich, Pizza, Burger, Street Food, Fast Food, Coffee, Beverages",3.8,₹250 for two,1.8,"Hazratganj, Lucknow","Hospitality, Peaceful Ambience, Good Bartenders","Tea, Sandwich, Pizza, Burger, Street Food, Fast Food, Coffee, BeveragesHospitality, Peaceful Ambience, Good Bartenders₹250 for two3.8"
The Golden Bakery,Bakery,3.6,₹350 for two,9.3,"Alambagh, Lucknow","Warm Atmosphere, Cozy Ambiance, Hospitable Staff","BakeryWarm Atmosphere, Cozy Ambiance, Hospitable Staff₹350 for two3.6"
Global  Fry Chicken,Fast Food,3.3,₹300 for two,4.4,"Chowk, Lucknow","Clean Environment, Local Sourcing, Diverse Menu","Fast FoodClean Environment, Local Sourcing, Diverse Menu₹300 for two3.3"
Manbhavan Premium Thali Restaurant,"North Indian, Rajasthani, Gujarati",3.9,"₹1,200 for two",8.7,"Phoenix Plassio Mall, Lucknow","Ambiance, Vintage Decor, Seasonal Menu","North Indian, Rajasthani, GujaratiAmbiance, Vintage Decor, Seasonal Menu₹1,200 for two3.9"
Limone Lounge,"North Indian, Mughlai, Chinese, Salad, Pizza, Biryani, Fast Food, Beverages",4.5,₹950 for two,1.5,"Mahanagar, Lucknow","Peaceful Ambience, Good Bartenders, Great for Dates","North Indian, Mughlai, Chinese, Salad, Pizza, Biryani, Fast Food, BeveragesPeaceful Ambience, Good Bartenders, Great for Dates₹950 for two4.5"
Ulta Tawa Multi-Cuisine Restaurant,"Mughlai, North Indian, Chinese, Continental",3.6,₹200 for two,4.2,"Aliganj, Lucknow","Extensive Mocktail Menu, Young Crowd, Delicious Food","Mughlai, North Indian, Chinese, ContinentalExtensive Mocktail Menu, Young Crowd, Delicious Food₹200 for two3.6"
Gulli's Cafe,"Chinese, Momos, Sandwich, Fast Food, Shake, Beverages",3.7,₹400 for two,2.7,"Indira Nagar, Lucknow","Good Bartenders, Perfect Place, Cafe","Chinese, Momos, Sandwich, Fast Food, Shake, BeveragesGood Bartenders, Perfect Place, Cafe₹400 for two3.7"
Winni- Cakes n More,Bakery,3.1,₹350 for two,6.3,"Gomti Nagar, Lucknow","Seasonal Menu, Live Sports Screening, Peaceful Ambience","BakerySeasonal Menu, Live Sports Screening, Peaceful Ambience₹350 for two3.1"
